0.471739,-0.881738,0,0,0.881738,0.471739,0,0,0,0,1,0,0,0,0,1|-4.89957e-06,1.48419e-06,1,0,-0.471739,0.881738,-3.61999e-06,0,-0.881738,-0.471739,-3.61999e-06,0,0,0,0,1|-4.89957e-06,1.48419e-06,1,0,-0.881737,-0.471742,-3.61998e-06,0,0.471742,-0.881737,3.62e-06,0,0,0,0,1|-4.89957e-06,1.48419e-06,1,0,-0.881737,-0.471742,-3.61998e-06,0,0.471742,-0.881737,3.62e-06,0,0.117936,-0.220434,9.05001e-07,1|-4.89957e-06,1.48419e-06,1,0,0.471745,-0.881735,3.62002e-06,0,0.881735,0.471745,3.61996e-06,0,0.117936,-0.220434,9.05001e-07,1|-4.89957e-06,1.48419e-06,1,0,0.471745,-0.881735,3.62002e-06,0,0.881735,0.471745,3.61996e-06,0,0.338369,-0.102498,1.80999e-06,1||
0.613642,0.789584,0,0,-0.789584,0.613642,0,0,0,0,1,0,0,0,0,1|6.3691e-07,-5.07967e-06,1,0,-0.613642,-0.789584,-3.61999e-06,0,0.789584,-0.613642,-3.61999e-06,0,0,0,0,1|6.3691e-07,-5.07966e-06,1,0,0.789587,-0.613639,-3.61998e-06,0,0.613639,0.789587,3.62e-06,0,0,0,0,1|6.3691e-07,-5.07966e-06,1,0,0.789587,-0.613639,-3.61998e-06,0,0.613639,0.789587,3.62e-06,0,0.15341,0.197397,9.05001e-07,1|6.3691e-07,-5.07966e-06,1,0,0.613636,0.789589,3.62002e-06,0,-0.789589,0.613636,3.61996e-06,0,0.15341,0.197397,9.05001e-07,1|6.3691e-07,-5.07966e-06,1,0,0.613636,0.789589,3.62002e-06,0,-0.789589,0.613636,3.61996e-06,0,-0.0439875,0.350806,1.80999e-06,1||
-0.890771,0.454452,0,0,-0.454452,-0.890771,0,0,0,0,1,0,0,0,0,1|4.86969e-06,1.57947e-06,1,0,0.890771,-0.454452,-3.61999e-06,0,0.454452,0.890771,-3.61999e-06,0,0,0,0,1|4.86969e-06,1.57947e-06,1,0,0.454448,0.890773,-3.61998e-06,0,-0.890773,0.454448,3.62e-06,0,0,0,0,1|4.86969e-06,1.57947e-06,1,0,0.454448,0.890773,-3.61998e-06,0,-0.890773,0.454448,3.62e-06,0,-0.222693,0.113612,9.05001e-07,1|4.86969e-06,1.57947e-06,1,0,-0.890775,0.454445,3.62002e-06,0,-0.454445,-0.890775,3.61996e-06,0,-0.222693,0.113612,9.05001e-07,1|4.86969e-06,1.57947e-06,1,0,-0.890775,0.454445,3.62002e-06,0,-0.454445,-0.890775,3.61996e-06,0,-0.336305,-0.109082,1.80999e-06,1||
0.210483,-0.977598,0,0,0.977598,0.210483,0,0,0,0,1,0,0,0,0,1|-0.0428515,0.199009,0.97906,0,-0.206074,0.957127,-0.203571,0,-0.977598,-0.210483,-3.61999e-06,0,0,0,0,1|-0.0428515,0.199009,0.97906,0,-0.977597,-0.210486,-2.88307e-06,0,0.206078,-0.957126,0.203571,0,0,0,0,1|-0.0428515,0.199009,0.97906,0,-0.977597,-0.210486,-2.88307e-06,0,0.206078,-0.957126,0.203571,0,0.0515195,-0.239282,0.0508927,1|-0.0428515,0.199009,0.97906,0,0.206082,-0.957126,0.203571,0,0.977596,0.21049,2.14614e-06,0,0.0515195,-0.239282,0.0508927,1|-0.0428515,0.199009,0.97906,0,0.206082,-0.957126,0.203571,0,0.977596,0.21049,2.14614e-06,0,0.295918,-0.186659,0.0508932,1||
0.418717,-0.908117,0,0,0.908117,0.418717,0,0,0,0,1,0,0,0,0,1|-0.396692,0.860347,0.320061,0,-0.134012,0.290654,-0.947397,0,-0.908117,-0.418717,-3.61999e-06,0,0,0,0,1|-0.396692,0.860347,0.320061,0,-0.908116,-0.418718,-1.90422e-07,0,0.134015,-0.290653,0.947397,0,0,0,0,1|-0.396692,0.860347,0.320061,0,-0.908116,-0.418718,-1.90422e-07,0,0.134015,-0.290653,0.947397,0,0.0335037,-0.0726631,0.236849,1|-0.396692,0.860347,0.320061,0,0.134018,-0.290651,0.947397,0,0.908116,0.418719,-3.23915e-06,0,0.0335037,-0.0726631,0.236849,1|-0.396692,0.860347,0.320061,0,0.134018,-0.290651,0.947397,0,0.908116,0.418719,-3.23915e-06,0,0.260533,0.0320166,0.236848,1||
0.418717,-0.908117,0,0,0.908117,0.418717,0,0,0,0,1,0,0,0,0,1|-0.34927,0.757505,-0.55154,0,0.230942,-0.500861,-0.834148,0,-0.908117,-0.418717,-3.61999e-06,0,0,0,0,1|-0.34927,0.757505,-0.55154,0,-0.908118,-0.418715,-6.00381e-07,0,-0.230938,0.500863,0.834148,0,0,0,0,1|-0.34927,0.757505,-0.55154,0,-0.908118,-0.418715,-6.00381e-07,0,-0.230938,0.500863,0.834148,0,-0.0577346,0.125216,0.208537,1|-0.34927,0.757505,-0.55154,0,-0.230935,0.500864,0.834148,0,0.908119,0.418713,-2.41923e-06,0,-0.0577346,0.125216,0.208537,1|-0.34927,0.757505,-0.55154,0,-0.230935,0.500864,0.834148,0,0.908119,0.418713,-2.41923e-06,0,0.169295,0.229894,0.208537,1||
0.418717,-0.908117,0,0,0.908117,0.418717,0,0,0,0,1,0,0,0,0,1|0.235892,-0.511597,-0.82621,0,0.345946,-0.750296,0.563362,0,-0.908117,-0.418717,-3.61999e-06,0,0,0,0,1|0.235892,-0.511597,-0.82621,0,-0.908118,-0.418714,-5.65935e-06,0,-0.345943,0.750298,-0.563362,0,0,0,0,1|0.235892,-0.511597,-0.82621,0,-0.908118,-0.418714,-5.65935e-06,0,-0.345943,0.750298,-0.563362,0,-0.0864857,0.187574,-0.14084,1|0.235892,-0.511597,-0.82621,0,-0.34594,0.750299,-0.563362,0,0.908119,0.418711,7.69872e-06,0,-0.0864857,0.187574,-0.14084,1|0.235892,-0.511597,-0.82621,0,-0.34594,0.750299,-0.563362,0,0.908119,0.418711,7.69872e-06,0,0.140544,0.292252,-0.140839,1||
0.418717,-0.908117,0,0,0.908117,0.418717,0,0,0,0,1,0,0,0,0,1|0.369901,-0.802249,0.468583,0,-0.196206,0.425527,0.88342,0,-0.908117,-0.418717,-3.61999e-06,0,0,0,0,1|0.369901,-0.802249,0.468583,0,-0.908116,-0.418718,-6.81796e-06,0,0.19621,-0.425525,-0.88342,0,0,0,0,1|0.369901,-0.802249,0.468583,0,-0.908116,-0.418718,-6.81796e-06,0,0.19621,-0.425525,-0.88342,0,0.0490524,-0.106381,-0.220855,1|0.369901,-0.802249,0.468583,0,0.196213,-0.425524,-0.88342,0,0.908116,0.41872,1.00159e-05,0,0.0490524,-0.106381,-0.220855,1|0.369901,-0.802249,0.468583,0,0.196213,-0.425524,-0.88342,0,0.908116,0.41872,1.00159e-05,0,0.276081,-0.00170133,-0.220852,1||
0.418717,-0.908117,0,0,0.908117,0.418717,0,0,0,0,1,0,0,0,0,1|-0.223103,0.48386,0.84623,0,-0.354329,0.768476,-0.532818,0,-0.908117,-0.418717,-3.61999e-06,0,0,0,0,1|-0.223103,0.48386,0.84623,0,-0.908116,-0.418719,-1.69119e-06,0,0.354332,-0.768475,0.532818,0,0,0,0,1|-0.223103,0.48386,0.84623,0,-0.908116,-0.418719,-1.69119e-06,0,0.354332,-0.768475,0.532818,0,0.088583,-0.192119,0.133205,1|-0.223103,0.48386,0.84623,0,0.354335,-0.768473,0.532818,0,0.908114,0.418722,-2.37602e-07,0,0.088583,-0.192119,0.133205,1|-0.223103,0.48386,0.84623,0,0.354335,-0.768473,0.532818,0,0.908114,0.418722,-2.37602e-07,0,0.315612,-0.0874382,0.133204,1||
0.418717,-0.908117,0,0,0.908117,0.418717,0,0,0,0,1,0,0,0,0,1|-0.418271,0.90715,-0.0461386,0,0.0193223,-0.0418977,-0.998935,0,-0.908117,-0.418717,-3.61999e-06,0,0,0,0,1|-0.418271,0.90715,-0.0461386,0,-0.908117,-0.418716,-3.85489e-09,0,-0.019319,0.0418993,0.998935,0,0,0,0,1|-0.418271,0.90715,-0.0461386,0,-0.908117,-0.418716,-3.85489e-09,0,-0.019319,0.0418993,0.998935,0,-0.00482975,0.0104748,0.249734,1|-0.418271,0.90715,-0.0461386,0,-0.0193157,0.0419008,0.998935,0,0.908117,0.418716,-3.61228e-06,0,-0.00482975,0.0104748,0.249734,1|-0.418271,0.90715,-0.0461386,0,-0.0193157,0.0419008,0.998935,0,0.908117,0.418716,-3.61228e-06,0,0.222199,0.115154,0.249733,1||
